标题,价格,面积,装修,类型,小区,小区名称,行政区,社区
湟普国际 精装修 地铁口 七中旁 带新风系统 空调,1800,54平方米,精装修,普通住宅,湟普国际湟座>温江>光华大道,湟普国际湟座,温江,光华大道
地铁口旺府豪庭 精装标间 家具电齐全 带空调 拎包入住,1000,48平方米,精装修,普通住宅,旺府豪庭>新都>石油大学,旺府豪庭,新都,石油大学
标准套一 实图 秒出房！,1900,70平方米,精装修,普通住宅,怡馨家园>高新区>南延线,怡馨家园,高新区,南延线
整租|花牌坊附近套一租金800可短租押一付一家电齐全随时看房,800,24平方米,简单装修,公寓,抚林巷8号院>金牛>花牌坊,抚林巷8号院,金牛,花牌坊
800租繁华地段精装套一水电气三通民用配置齐全带空调随时入住,800,27平方米,精装修,公寓,城北优品道(商住楼)>新都>大丰,城北优品道(商住楼),新都,大丰
天府三街地铁口简约风套一 家电齐全拎包入住欢乐颂一品cg,1200,34平方米,精装修,公寓,保利星座>高新区>大源,保利星座,高新区,大源
整租|市二医院附近套一900可短租押一付一家电齐全随时看房,900,23平方米,简单装修,公寓,双栅子街34号院>锦江>春熙路,双栅子街34号院,锦江,春熙路
吉绿苑豪华版套一小区环境赞赞赞生活便利交通方便拎包入住,1800,50平方米,精装修,普通住宅,吉绿苑>武侯>外双楠,吉绿苑,武侯,外双楠
磨子桥小学旁边 金楠龙湖天街 龙爪堰地铁站 武侯大道地铁站,1500,58平方米,精装修,普通住宅,吉春苑>武侯>外双楠,吉春苑,武侯,外双楠
龙湖金楠天街千盛百货近龙爪堰地铁鹭岛国际晋阳新居电梯套一,1900,50平方米,精装修,普通住宅,晋阳新居>武侯>外双楠,晋阳新居,武侯,外双楠
7号线龙爪堰武侯大道地铁口 金楠龙湖天街 双楠伊藤洋华堂,1600,60平方米,精装修,普通住宅,吉春苑>武侯>外双楠,吉春苑,武侯,外双楠
金楠龙湖天街附近  7号线龙爪堰地铁口 鹭岛国际 双楠伊藤洋,1800,66平方米,精装修,普通住宅,晋阳新居>武侯>外双楠,晋阳新居,武侯,外双楠
金楠龙湖天街附近 7号线武侯大道龙爪堰 五大花园 吉春苑,1500,65平方米,精装修,普通住宅,吉春苑>武侯>外双楠,吉春苑,武侯,外双楠
7号线龙爪堰 晋阳新居 双楠伊藤洋华堂 金楠龙湖天街,1800,65平方米,精装修,普通住宅,晋阳新居>武侯>外双楠,晋阳新居,武侯,外双楠
近龙爪堰地铁口500米处新小区环境好旁边就是别墅区视野开阔赞,1900,50平方米,精装修,普通住宅,晋阳新居>武侯>外双楠,晋阳新居,武侯,外双楠
二环路东一段，龙湖三千城旁，（公寓标间，带空调，1100元）,1100,36平方米,精装修,公寓,万基新界>成华>八里小区,万基新界,成华,八里小区
光华大道4号线地铁口  湟普国际湟座   精装套一  非包租,1700,54平方米,精装修,普通住宅,湟普国际湟座>温江>光华大道,湟普国际湟座,温江,光华大道
华府大道天府三街天府软件园创新科技园成都阿里巴巴实图实价,1300,40平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
地铁口套一房冬直租1700天府五街孵化园银泰城软件园,1700,40平方米,精装修,普通住宅,乐活公社>高新区>中和,乐活公社,高新区,中和
凤凰湖国际社区 精装套一 标准一室一厅 家具家电齐全拎包入住,1500,50平方米,精装修,普通住宅,凤凰湖国际社区>青白江>凤凰新城,凤凰湖国际社区,青白江,凤凰新城
整租|骡马市地铁附近套一800可短租押一付一家电齐全随时看房,800,23平方米,简单装修,公寓,东二巷14号院>青羊>天府广场,东二巷14号院,青羊,天府广场
莲桂南路龙舟路 地铁边 全装电梯独立标价 配套齐全 拎包入住,1200,25平方米,简单装修,普通住宅,兰郡驿站>锦江>莲桂路,兰郡驿站,锦江,莲桂路
理工大学 东郊记忆 龙湖樊城 loft 套一 押一付一无中介,1700,25平方米,精装修,公寓,招商中央华城(商住楼)>成华>杉板桥,招商中央华城(商住楼),成华,杉板桥
可短租 可月付精装温馨便宜标间财富中心配置齐全靠近地铁太古里,1600,30平方米,精装修,普通住宅,财富中心>锦江>盐市口,财富中心,锦江,盐市口
新上！软件园旁 中央空调 拎包入住 密码入户 随时看房,2600,60平方米,豪华装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
地铁口套一房冬直租1700天府五街天府三街孵化园软件园银泰城,1700,45平方米,精装修,普通住宅,乐活公社>高新区>中和,乐活公社,高新区,中和
大丰地铁口精装整租套一出租，家具家电齐全带空调随时看房,1300,80平方米,精装修,普通住宅,北新国际>新都>大丰,北新国际,新都,大丰
护理学院旁 精装套一 近地铁交通便捷 临近万达广场 地铁站,1200,48平方米,精装修,普通住宅,丽阳晶舍>龙泉驿>商业片区,丽阳晶舍,龙泉驿,商业片区
金融城 誉峰遇见 品质公寓 仅靠悠方 城南一号 银泰中心,2700,50平方米,精装修,公寓,誉峰遇见>高新区>金融城,誉峰遇见,高新区,金融城
文殊院 骡马市 罗马国际 新城市广场精装标间出租可月付.,1760,42平方米,精装修,普通住宅,新城市广场>青羊>新城市广场,新城市广场,青羊,新城市广场
外双楠武侯大道地铁口7号线永辉超市对面电梯套一出租，采光好,2000,68平方米,精装修,普通住宅,金楠国际>武侯>外双楠,金楠国际,武侯,外双楠
迎春桥地铁口  一室一卫一厨出租,1400,50平方米,精装修,普通住宅,正昌幸福岭>双流>东升镇,正昌幸福岭,双流,东升镇
西安路一段   一室一厅一卫  出租,1000,50平方米,简单装修,普通住宅,西门川交>双流>东升镇,西门川交,双流,东升镇
锦城逸景 实图 车位充足 随时入住,1400,50平方米,精装修,普通住宅,锦城逸景A区>锦江>锦江周边,锦城逸景A区,锦江,锦江周边
"整租,押一付一, 无中介，拎被入住! 地铁站附近",2300,46平方米,毛坯,普通住宅,中海翠屏湾>武侯>火车南站,中海翠屏湾,武侯,火车南站
文殊院 锦城华府 新城市广场精装套一出租.可月付,2350,52.2平方米,精装修,普通住宅,新城市广场>青羊>新城市广场,新城市广场,青羊,新城市广场
太平园武侯大道近双楠忆景旁金南国际电梯套一家具齐全,2000,56平方米,精装修,普通住宅,金楠国际>武侯>外双楠,金楠国际,武侯,外双楠
金融城地铁口 誉峰豪装套一 中海国际 润富 悠方 拎包入住,4800,80平方米,豪华装修,公寓,誉峰遇见>高新区>金融城,誉峰遇见,高新区,金融城
广场旁 简单装修 正对中庭 干净卫生 随时看房,1000,50平方米,简单装修,普通住宅,龙锦雅苑>成华>龙潭寺,龙锦雅苑,成华,龙潭寺
建设路 二环 精致套一  电梯小高层  高性价比  随时可看,1800,45平方米,简单装修,普通住宅,合能耀之城>成华>SM广场,合能耀之城,成华,SM广场
（房东直签）蜀汉路地铁口精装套一,2000,60平方米,简单装修,普通住宅,西景花园>金牛>蜀汉路,西景花园,金牛,蜀汉路
实地拍摄布鲁明顿中航国际豪装套一 东方希望 中航城市广场,3200,60平方米,精装修,普通住宅,布鲁明顿广场>高新区>金融城,布鲁明顿广场,高新区,金融城
倪家桥 可月付 短租 家电齐全 干净整洁 小区安全,650,14平方米,简单装修,其他,玉林街9号院>武侯>玉林,玉林街9号院,武侯,玉林
南站 家电齐全 干净整洁 采光好 可月付 小区安全 生活便利,650,14平方米,精装修,其他,长城南苑>武侯>火车南站,长城南苑,武侯,火车南站
可以短租精装温馨套一财富中心真实图片靠近锦江宾馆地铁太古里旁,2300,50平方米,精装修,普通住宅,财富中心>锦江>盐市口,财富中心,锦江,盐市口
万科金色乐府 精装公寓 配置齐全 物业直租 无中介,1700,38平方米,精装修,公寓,万科金色乐府(商住楼)>成华>杉板桥,万科金色乐府(商住楼),成华,杉板桥
缤纷800元一月精装标间 可短租可月付 家具电齐全 干净整洁,900,30平方米,精装修,普通住宅,缤纷新天地>新都>石油大学,缤纷新天地,新都,石油大学
金堂大学城希望未来城标准套一1000一个月全新出租家具家电齐,1000,54平方米,精装修,普通住宅,希望未来城(二期)>金堂>三星,希望未来城(二期),金堂,三星
万象城 温馨小公寓 家电齐全 随时入住,1800,43平方米,精装修,公寓,明信鹭湾(商住楼)>成华>双桥子,明信鹭湾(商住楼),成华,双桥子
新上龙湖上城套一装修巴适拎包入住看房随时干净整洁,2300,50平方米,精装修,普通住宅,龙湖上城>金牛>人民北路,龙湖上城,金牛,人民北路
天府三街地铁口水电气三通套一拎包入住保利星座 欢乐颂一品CG,2300,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
天府五街 银泰城 朗基天香 保利锦江里 美年美岸 精装套一,2600,65平方米,精装修,普通住宅,保利锦江里>天府新区>华阳,保利锦江里,天府新区,华阳
二环蜀汉路口北 蜀汉路地铁东附 独立套一 家具家电拎包入住,1300,35平方米,精装修,普通住宅,营通街99号院>金牛>营门口,营通街99号院,金牛,营门口
2号线 羊犀立交地铁口 精装温馨套一 拎包入住 家乐福 新上,2100,55平方米,精装修,普通住宅,欧韵金沙>青羊>金沙,欧韵金沙,青羊,金沙
世豪广场伊藤大源地铁口整租套一带阳台锦城南府,2500,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
天府五街 美年广场 银泰城 软件园 精装套一拎包入住0中介,1500,40平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
缤纷时代广场 精装套一 带平台 可短租 家具电齐全拎包入住,1200,34平方米,精装修,普通住宅,缤纷时代广场>新都>石油大学,缤纷时代广场,新都,石油大学
东郊记忆旁 万科天荟  精装公寓 物业直租您放心,1700,30平方米,精装修,公寓,万科天荟>成华>杉板桥,万科天荟,成华,杉板桥
怡和新城 精装 套一 季付 带空调 1100月 可看房,1100,45平方米,精装修,普通住宅,怡和新城F1区>龙泉驿>总站片区,怡和新城F1区,龙泉驿,总站片区
光华地铁口旁 仁和新华精装套一 家具家电齐全 拎包入住,1300,62平方米,精装修,普通住宅,仁和新华>温江>光华大道,仁和新华,温江,光华大道
莱普顿 带阳台通气现代简约风格 天府三街大源站无国界,2300,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
天府三街地铁口水电气三通套一 保利星座 欢乐颂 仁美一品CG,2800,60平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
牛市口 东大路 天廊 恒大望江华府 都汇华庭 时代豪庭 天誉,4200,61平方米,精装修,普通住宅,COSMO天廊>锦江>攀成钢,COSMO天廊,锦江,攀成钢
天府三街地铁口 软件园金融城银行后台高端人士的居家选择！,2300,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
凤凰湖国际社区 1室1厅1卫 1100元月 电梯房,1100,55平方米,精装修,公寓,凤凰湖国际社区>青白江>凤凰新城,凤凰湖国际社区,青白江,凤凰新城
龙城国际五期精装公寓，家具齐全，随时拎包入住，可住俩人！,850,25平方米,精装修,公寓,龙城国际五期>郫都>红光,龙城国际五期,郫都,红光
新上地铁口 精装套一家具家电齐全温馨舒适出行方便搬家即可入住,1300,84平方米,精装修,普通住宅,北新国际>新都>大丰,北新国际,新都,大丰
天府三街地铁口精美套一家电齐全拎包入住保利星座欢乐颂一品CG,2800,60平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
实拍高新区五街万科银泰城保利锦江里精装全齐标间可拎包随时看房,2200,45平方米,精装修,普通住宅,保利锦江里>天府新区>华阳,保利锦江里,天府新区,华阳
七号线理工大学地铁口 二仙桥 sm广场 生活方便 拎包入住,1800,56平方米,精装修,普通住宅,万科天荟>成华>杉板桥,万科天荟,成华,杉板桥
直租无中介！昭觉寺南路地铁口 东立国际广场 动物园,1500,50平方米,精装修,普通住宅,东立国际广场>成华>驷马桥,东立国际广场,成华,驷马桥
天府三街剑南大道世豪广场伊藤软件园大源公园旁精装房东急租,2800,60平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
玉林精装修套一来了出租超值漂亮,1500,67.1平方米,精装修,普通住宅,长信公寓>武侯>玉林,长信公寓,武侯,玉林
红湖公园城 1室1厅1卫 900元月 电梯房 50平,900,50.6平方米,简单装修,普通住宅,红湖公园城>新都>大丰,红湖公园城,新都,大丰
红光西华大学南门对面精装标准套一，家具齐全，随时拎包入住！,1300,55平方米,精装修,普通住宅,天邑宏御花园(商住楼)>郫都>红光,天邑宏御花园(商住楼),郫都,红光
鲜花优活居 精装标间 地铁口 家具电齐全 拎包入住,1350,36平方米,精装修,普通住宅,鲜花优活居>新都>石油大学,鲜花优活居,新都,石油大学
标准一室一厅一卫 欧派装修 天府三街大源站地铁口无国界莱普顿,2800,60平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
标准套一 随时看房 通气 交通便利带地铁 购物方便 带商场,2800,60平方米,豪华装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
伊藤世豪 锦城南府 精装套一 软件园 地铁口 腾 讯银泰城！,2300,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
太平园地铁口600米精装套一  家具家电齐全 生活方便,1850,56平方米,精装修,普通住宅,南桥新居B区>武侯>簇桥,南桥新居B区,武侯,簇桥
世纪花园精装套一，1100一个月，,1100,60平方米,精装修,普通住宅,世纪花园>双流>蛟龙港,世纪花园,双流,蛟龙港
天府四街  银泰城 五号线地铁口 水电气三通 标准一室一厅,3200,70平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
捡漏了 攀成钢环球汇 精装LOFT公寓套一全配 适合居家办公,3300,34平方米,精装修,公寓,环球汇蔚然>锦江>牛市口,环球汇蔚然,锦江,牛市口
锦西人家一期 精装1室1厅1卫出租1700月,1700,50平方米,精装修,普通住宅,锦西人家一期>金牛>交大路,锦西人家一期,金牛,交大路
地铁六号线西华大学南门对面精装套一家具家电齐全随时看房,800,22.9平方米,精装修,公寓,龙城国际五期>郫都>红光,龙城国际五期,郫都,红光
近地铁府青路押一付一7号线春熙路339金牛万达电子科大李家沱,1710,35平方米,精装修,公寓,永立龙寓>成华>八里小区,永立龙寓,成华,八里小区
太升南路地铁口400米精装套一 靠近一号线三号线四号线,1600,56平方米,精装修,普通住宅,玉泉街24号院>青羊>天府广场,玉泉街24号院,青羊,天府广场
天府三街 腾.讯 大源地铁口 标准一室一厅 水电气三通带阳台,2800,60平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
美程广场对面 力合标准套一 中装全齐 有空调 押一付三可短租,1000,50平方米,简单装修,普通住宅,力合上域中央>青白江>文体中心,力合上域中央,青白江,文体中心
世豪广场 地铁口 标准套一通气 交通便利 随时看房 购物方便,2800,60平方米,豪华装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
北延新居A区 1室1厅1卫 750元月 电梯房 52平,750,52平方米,简单装修,普通住宅,北延新居A区>新都>大丰,北延新居A区,新都,大丰
欧派新式装修 首 次出租 无国界 莱普顿凤凰城 天府三街大源,2300,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
好房手慢无 牛市口 温馨小家从此开始 拎包入住 随时看房,3200,34平方米,精装修,公寓,环球汇蔚然>锦江>牛市口,环球汇蔚然,锦江,牛市口
网红房  锦城南府 房东自住装修 家具家电极好 钥匙在手随时,2800,49平方米,精装修,普通住宅,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
高新区 天府三街 香年广场 精装套一 近环球中心 银泰城,2800,60平方米,精装修,公寓,花样年香年广场(商住楼)>高新区>大源,花样年香年广场(商住楼),高新区,大源
太升南路地铁口50米精装套一 靠近一号线三号线 拎包入住,1500,56平方米,精装修,普通住宅,鼓楼北二街40号院>青羊>天府广场,鼓楼北二街40号院,青羊,天府广场
旭日苑精装套一近地铁槐树店成都东站东门大桥春熙路建设路339,1800,67平方米,精装修,普通住宅,旭日苑>成华>槐树店,旭日苑,成华,槐树店
（可月付）省体地铁站（可做饭）家电齐全（可短租）,1600,34平方米,精装修,普通住宅,华西南园>武侯>跳伞塔,华西南园,武侯,跳伞塔
天府三街大源中心公园旁银泰城环球中心长虹科技软件园房东急租,2300,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
天府四街 银泰城 长虹OCG 五号线地铁口 水电气三通带阳台,2300,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
秀林苑西区 套一家具家电齐全 900年付,900,51平方米,精装修,普通住宅,秀林苑西区>成华>龙潭寺,秀林苑西区,成华,龙潭寺
秀林苑西区 套一 家具家电齐全 拎包入住,900,51平方米,精装修,普通住宅,秀林苑西区>成华>龙潭寺,秀林苑西区,成华,龙潭寺
首 次出租 带衣帽间欧派装修 通气天府三街世纪城地铁口软件园,2300,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
三九绿城 1室1厅1卫 居家装修 出行方便,1400,55.6平方米,精装修,普通住宅,三九绿城>金牛>五块石,三九绿城,金牛,五块石
天府五街软件园精装loft电梯套一 家电家具齐全 拎包入住,2000,56平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
新上巴适套一 居家必备 舒适温馨有格调 配置齐全 欢迎来看房,2000,50平方米,精装修,普通住宅,欧韵金沙>青羊>金沙,欧韵金沙,青羊,金沙
直租无中介！三河场 缇香绘 精装套一拎包入住 3号线 金华寺,1100,50平方米,精装修,普通住宅,万科缇香荟>新都>新都新城区,万科缇香荟,新都,新都新城区
一号线，包空调，短租特价，地铁口，可带床品,2099,40平方米,精装修,公寓,富力史丹尼国际公寓>青羊>天府广场,富力史丹尼国际公寓,青羊,天府广场
世豪广场伊藤大源地铁口整租套一锦城南府,2300,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
（可月付）洞子口地铁站（可做饭）家电齐全（可短租）,1500,34平方米,精装修,普通住宅,蓝光花满庭(一期)>金牛>五块石,蓝光花满庭(一期),金牛,五块石
天府三街 精装套一 世豪伊藤 软件园 地铁5号线口 银泰城！,2800,60平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
标准套一一室 欧派装修带衣帽间 带阳台通气  天府三街大源站,2800,60平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
采光好 大阳台 随时看房 拎包入住 欧式标准套一,2500,53平方米,精装修,普通住宅,朗基龙堂>青羊>内光华,朗基龙堂,青羊,内光华
三号线红牌楼地铁口精装电梯套一 全新装修 家具齐全 拎包入住,1650,50平方米,精装修,普通住宅,交大格外>武侯>红牌楼,交大格外,武侯,红牌楼
武侯区 中海翠屏湾 水电气三通精装套一 近金融城 环球中心,2800,55平方米,精装修,公寓,中海翠屏湾>武侯>火车南站,中海翠屏湾,武侯,火车南站
（房东直签）蜀汉路东地铁口精装套一，拎包入住,2400,60平方米,精装修,普通住宅,蓝光云鼎>金牛>蜀汉路,蓝光云鼎,金牛,蜀汉路
天府三街 世豪广场 大源地铁口 水电气三通 带阳台 对中庭,2300,50平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
大源地铁口 通气带大阳台 软件园 银泰城 世纪城 交通便利,2300,50平方米,豪华装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
包空调，短租特价，一号线，地铁口，可带床品,2160,40平方米,精装修,公寓,财富中心>锦江>盐市口,财富中心,锦江,盐市口
石人小区 罗家碾街4楼温馨套一1300拎包住 带空调搞快,1300,45平方米,简单装修,普通住宅,罗家碾街33号院>青羊>石人,罗家碾街33号院,青羊,石人
世豪广场伊藤大源地铁口整租套一锦城南府,2800,60平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
复式跃层公寓近地铁金牛区五块石北城天街火车北站荷花池凯德广场,1530,35平方米,精装修,普通住宅,太阳门公寓>金牛>九里堤,太阳门公寓,金牛,九里堤
天府五街地铁口精装电梯套一 空间大 性价比超高 家具齐全,1700,56平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
北大附中旁 精装套一 有钥匙 来点看现房 家电家具齐全,800,48.7平方米,精装修,普通住宅,怡景阳光>青白江>文体中心,怡景阳光,青白江,文体中心
短租特价，包空调，一号线，地铁口，可带床品,2160,40平方米,精装修,公寓,财富中心>锦江>盐市口,财富中心,锦江,盐市口
急租哥谭 1室1厅1卫 1600元月 精装修 南北通透,1600,34平方米,精装修,普通住宅,哥谭(商住楼)>武侯>火车南站,哥谭(商住楼),武侯,火车南站
地铁口，一号线，包空调，短租特价，可带床品,2099,40平方米,精装修,公寓,新世纪广场>青羊>文殊坊,新世纪广场,青羊,文殊坊
复式跃层精装套一近地铁5号线五块石荷花池火车北站金牛万达沙湾,1550,35平方米,精装修,普通住宅,天悦汇>金牛>沙河源,天悦汇,金牛,沙河源
二环快速公交 石人正街3楼温馨套一1300拎包住,1300,45平方米,简单装修,普通住宅,石人正街23号院>青羊>石人,石人正街23号院,青羊,石人
无物业精装空房套1.,700,50平方米,精装修,普通住宅,银杏苑(黄泥堰路)>龙泉驿>西河,银杏苑(黄泥堰路),龙泉驿,西河
高新区 天府三街 保利星座 利通时代晶座 精装标间 近大源站,1900,60平方米,精装修,公寓,保利星座>高新区>大源,保利星座,高新区,大源
秀林苑 家具家电齐全 1300 半年付,1300,53平方米,精装修,普通住宅,秀林苑西区>成华>龙潭寺,秀林苑西区,成华,龙潭寺
温馨舒适小家 精装全配私密性好 隔音好 手慢无 随时看房,3300,34平方米,豪华装修,公寓,环球汇蔚然>锦江>牛市口,环球汇蔚然,锦江,牛市口
可带床品，短租特价，包空调，一号线，地铁口,2299,42平方米,精装修,公寓,新世纪广场>青羊>文殊坊,新世纪广场,青羊,文殊坊
草堂北路地铁口 家具家电全 拎包入住 交通方便,680,11平方米,精装修,平房,成勘院>青羊>草堂,成勘院,青羊,草堂
（可月付）一品天下地铁站（可做饭）家电齐全（可短租）,1500,34平方米,精装修,普通住宅,华夏之家>金牛>蜀汉路,华夏之家,金牛,蜀汉路
幸福苑(方元路) 1室1厅1卫 900元月 电梯房,900,52平方米,简单装修,普通住宅,幸福苑(方元路)>新都>大丰,幸福苑(方元路),新都,大丰
（房东直签）精装房，拎包入住,1500,66平方米,精装修,公寓,上龙门>龙泉驿>十陵,上龙门,龙泉驿,十陵
无中介 崔家店地铁站 蓝光东方天地 成都理工大学 华西花园,1500,15平方米,精装修,公寓,蓝光东方天地(商住楼)>成华>崔家店,蓝光东方天地(商住楼),成华,崔家店
澳龙名城维格 1室1厅1卫 2000元月 电梯房 精装修,2000,56平方米,精装修,普通住宅,澳龙名城维格>锦江>攀成钢,澳龙名城维格,锦江,攀成钢
市中心精装LOFT东二环环球汇蔚然天誉五区塔子山天廊望江华府,3500,66平方米,精装修,普通住宅,环球汇蔚然>锦江>牛市口,环球汇蔚然,锦江,牛市口
一品天下地铁口 全新装修 家具家电齐全 拎包入住 交通便利,760,11平方米,精装修,平房,金沙国际>金牛>黄忠,金沙国际,金牛,黄忠
金牛万达 赫本酒吧 龙湖上城天街 春熙路 太古里 无中介月付,1780,48平方米,精装修,普通住宅,银海中心>金牛>梁家巷,银海中心,金牛,梁家巷
精装电梯套一 苏坡立交 清江西路 贝森 玉园清水湾,1250,45平方米,精装修,普通住宅,玉园清水湾>青羊>外光华,玉园清水湾,青羊,外光华
推荐！欧韵金沙公寓2100，采光好装修巴适，随时看房拎包入住,2100,50平方米,精装修,公寓,欧韵金沙>青羊>金沙,欧韵金沙,青羊,金沙
天府五街地铁口 金融城 软件园 环球中心 精装套一 天府三街,1350,40平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
无中介月付短租套一整租凯德风尚中坝地铁口西环广场青羊总部基地,1600,50平方米,精装修,普通住宅,凯德风尚>青羊>万家湾,凯德风尚,青羊,万家湾
大观地铁口 成都东站 塔子山牛市口总府路339押一付一0中介,1650,58平方米,豪华装修,普通住宅,兴城嘉苑一期B区>成华>火车东站,兴城嘉苑一期B区,成华,火车东站
无中介 大源地铁站 沃尔玛 保利百合花园 天府一街 剑南大道,1600,40平方米,精装修,普通住宅,清凤时代城>高新区>大源,清凤时代城,高新区,大源
可月付！时代凯悦！文殊院地铁口！电梯一居室！骡马市！天府广场,1650,43平方米,精装修,普通住宅,时代凯悦>青羊>八宝街,时代凯悦,青羊,八宝街
天府五街 华润时光里 精装Loft套一 拎包入住,1600,50平方米,精装修,公寓,华润时光里>双流>华府,华润时光里,双流,华府
白果林地铁口，2楼精装套一，十八中旁，安静不临街,1750,55平方米,精装修,普通住宅,金琴路南一巷1号院>金牛>白果林,金琴路南一巷1号院,金牛,白果林
无中介月付短租套一整租凯德风尚中坝地铁口西环广场青羊总部基地,1600,50平方米,精装修,普通住宅,金地自在湾>青羊>万家湾,金地自在湾,青羊,万家湾
高新区 天府三街 欢乐颂 一品CG 精装标间 近大源站 世豪,1900,45平方米,精装修,公寓,大源欢乐颂(商住楼)>高新区>大源,大源欢乐颂(商住楼),高新区,大源
温馨小家 甜蜜蜜  小资生活 拎包入住 办公居家  随时看房,3300,34平方米,精装修,公寓,环球汇蔚然>锦江>牛市口,环球汇蔚然,锦江,牛市口
高升桥地铁口 年终特价 家具家电齐全 拎包入住 交通方便,740,12平方米,精装修,平房,罗浮世家(二期)>武侯>高升桥,罗浮世家(二期),武侯,高升桥
世豪广场 远大中央公园 大源地铁站 剑南大道 天府一街 甩租,1800,50平方米,精装修,普通住宅,清凤时代城>高新区>大源,清凤时代城,高新区,大源
红花东路22号院 1室1厅1卫 1600元月 南北通透,1600,56平方米,精装修,公寓,红花东路22号院>金牛>荷花池,红花东路22号院,金牛,荷花池
东二环万象城观城品质精装大套一带衣帽间,2300,50平方米,精装修,普通住宅,观城(商住楼)>成华>万年场,观城(商住楼),成华,万年场
精装套一 天府五街地铁口 世纪城 环球中心 金融城 软件园,2200,60平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
工业风装修慢慢设计感！大套一东门大桥拎包入住都汇华庭恒大广场,4600,70平方米,豪华装修,普通住宅,天誉>锦江>攀成钢,天誉,锦江,攀成钢
文殊院地铁口！时代凯悦！精装！骡马市！天府广场！新城市广场,1600,43平方米,精装修,普通住宅,时代凯悦>青羊>八宝街,时代凯悦,青羊,八宝街
兴元绿洲 1室1厅1卫 精装修 南北通透,1600,56平方米,精装修,普通住宅,兴元绿洲>金牛>沙河源,兴元绿洲,金牛,沙河源
高新区五号线民乐站世豪广场保利星座逸都国际锦城南府精装套一,2500,51平方米,精装修,普通住宅,锦城南府>高新区>大源,锦城南府,高新区,大源
六号线地铁口 精装标间 拎包入住,1300,35平方米,精装修,公寓,乐活公社>高新区>中和,乐活公社,高新区,中和
手慢无 牛市口 温馨小家从此开始 拎包入住 随时看房,3200,34平方米,精装修,公寓,环球汇蔚然>锦江>牛市口,环球汇蔚然,锦江,牛市口
金象嘉园(东区) 1室1厅1卫 1600元月 配套齐全,1600,11平方米,精装修,公寓,金象嘉园(东区)>锦江>东光小区,金象嘉园(东区),锦江,东光小区
实图！押一付一！文殊院地铁口！时代凯悦！电梯一居室！骡马市,1600,49平方米,精装修,普通住宅,时代凯悦>青羊>八宝街,时代凯悦,青羊,八宝街
